# Ordem,Estado,Anos atividade,Região,Receitas,Ativos,Montante,BR,Prazo,# pmts pagas,Taxa ind.,Taxa med,# ofertas
0043,Pago,8,Beira Litoral,"100,000 - 350,000","350,000-500,000",10000,B-,12,12.0,0.0605,0.06566432604910066,119
0044,Pago,11,Minho e Douro Litoral,"100,000 - 350,000","500,000-1,500,000",10000,B,24,24.0,0.0609,0.07320464973466266,109
0045,Pago,40,Minho e Douro Litoral,">=1,500,000","500,000-1,500,000",15000,B+,12,12.0,0.0406,0.0502877018061076,130
0046,Pago,25,Beira Interior,"100,000 - 350,000","100,000 - 350,000",10000,B+,24,24.0,0.0509,0.07659161279886437,109
0047,Pago,28,Estremadura e Ribatejo,"<100,000","350,000-500,000",10000,B,24,24.0,0.0609,0.0784361391786304,112
0048,Pago,4,Trás os Montes e Alto Douro,"<100,000","100,000 - 350,000",10000,C,12,12.0,0.0856,0.09513970598276751,155
0049,Pago,13,Beira Litoral,"100,000 - 350,000","500,000-1,500,000",10000,B-,12,12.0,0.0605,0.06594667288755038,115
0050,Pago,46,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",10000,B-,24,24.0,0.0708,0.09235783423436397,108
0051,Pago,6,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",10000,B+,12,12.0,0.0406,0.043480314355189204,103
0052,Pago,8,Trás os Montes e Alto Douro,"100,000 - 350,000","100,000 - 350,000",10000,B-,12,12.0,0.0605,0.0906581484597739,126
0053,Pago,9,Alentejo,"350,000-500,000","100,000 - 350,000",20000,B+,24,24.0,0.0509,0.07471204252662106,110
0054,Pago,6,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",10000,B-,24,24.0,0.0708,0.11170421550633705,51
0055,Pago,8,Beira Litoral,"100,000 - 350,000","350,000-500,000",5000,B-,12,12.0,0.0605,0.07323605977587094,49
0056,Pago,5,Minho e Douro Litoral,"350,000-500,000","100,000 - 350,000",10000,B,24,24.0,0.0609,0.09498525749887204,97
0057,Regular,39,Beira Interior,"500,000-1,500,000",">=1,500,000",20000,R,132,23.0,0.03,0.03085923327973523,118
0058,Pago,18,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",10000,B,18,18.0,0.0557,0.08409665761863602,113
0059,Pago,33,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",15000,B+,18,18.0,0.0457,0.04801818345681605,96
0060,Pago,19,Açores,"350,000-500,000","500,000-1,500,000",25000,A,24,24.0,0.0408,0.04418773794298108,146
0061,Pago,21,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",10000,B+,12,12.0,0.0406,0.04452126374523312,40
0062,Pago,3,Minho e Douro Litoral,"500,000-1,500,000","100,000 - 350,000",15000,B,12,12.0,0.0506,0.06505579919603875,103
0063,Pago,6,Lisboa,"500,000-1,500,000","100,000 - 350,000",5000,B,18,18.0,0.0557,0.056653161129290905,45
0064,Pago,9,Minho e Douro Litoral,"350,000-500,000","500,000-1,500,000",10000,R,24,24.0,0.07069602351104329,0.07069602351104329,109
0065,Pago,10,Minho e Douro Litoral,"350,000-500,000","500,000-1,500,000",15000,B+,24,24.0,0.0509,0.054404327595735935,116
0066,Pago,9,Lisboa,"100,000 - 350,000","500,000-1,500,000",10000,B,18,18.0,0.0557,0.054739276821959296,101
0067,Pago,40,Minho e Douro Litoral,">=1,500,000","500,000-1,500,000",15000,B+,12,12.0,0.0406,0.044526363496424706,92
0068,Incobrável,3,Minho e Douro Litoral,"100,000 - 350,000","<100,000",7500,C,12,6.0,0.0856,0.08538059223862952,49
0069,Pago,15,Lisboa,"100,000 - 350,000","500,000-1,500,000",10000,B-,24,24.0,0.0708,0.07069731315031291,138
0070,Pago,38,Estremadura e Ribatejo,">=1,500,000",">=1,500,000",15000,B-,12,12.0,0.0605,0.08621166264554041,126
0071,Pago,9,Beira Litoral,">=1,500,000",">=1,500,000",15000,B,12,12.0,0.0506,0.05052333889743975,148
0072,Incobrável,10,Estremadura e Ribatejo,"350,000-500,000","500,000-1,500,000",10000,B-,18,10.0,0.0657,0.0826290636468637,65
0073,Pago,5,Alentejo,"100,000 - 350,000","500,000-1,500,000",10000,C,24,24.0,0.0959,0.10606950048348457,66
0074,Pago,12,Estremadura e Ribatejo,"100,000 - 350,000","350,000-500,000",10000,B+,24,24.0,0.0509,0.05083721351738599,104
0075,Pago,40,Minho e Douro Litoral,"350,000-500,000","500,000-1,500,000",15000,B+,12,12.0,0.0406,0.04087080303882591,123
0076,Pago,38,Minho e Douro Litoral,"500,000-1,500,000","500,000-1,500,000",15000,B+,18,18.0,0.0457,0.04569329200889648,106
0077,Pago,16,Beira Litoral,"100,000 - 350,000","500,000-1,500,000",10000,C,24,24.0,0.0959,0.0959142245699488,106
0078,Regular,3,Minho e Douro Litoral,"500,000-1,500,000","100,000 - 350,000",15000,R,60,14.0,0.1,0.09080923028809598,103
0079,Pago,18,Beira Interior,"100,000 - 350,000","500,000-1,500,000",10000,B-,24,24.0,0.0708,0.0733,136
0080,Pago,41,Beira Litoral,"500,000-1,500,000",">=1,500,000",15000,B-,12,12.0,0.0605,0.06534448516951544,150
0081,Pago,17,Estremadura e Ribatejo,"500,000-1,500,000","500,000-1,500,000",20000,B+,24,24.0,0.0509,0.05087420972065036,112
0082,Pago,8,Minho e Douro Litoral,"100,000 - 350,000","100,000 - 350,000",10000,C,24,24.0,0.0959,0.10996765836213981,103
